,Color,Dimensions,"External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays",Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Part Number,Type
0,Black,,,,,,True,False,2,2,,Deepcool,"370 mm / 14.567""",,"ATX, EATX, Micro ATX, Mini ITX",MATREXX 55,ATX Mid Tower
1,Black,,,,,,True,False,3,7,,be quiet!,"286 mm / 11.26"" With Drive Cages, 430 mm / 16.929"" Without Drive Cages",,"ATX, Micro ATX, Mini ITX",Dark Base 700 / BGW23,ATX Mid Tower
2,Silver,,,1,,,True,False,2,6,,Fractal Design,"300 mm / 11.811"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Design Define R6 USB-C Gunmetal - TG,"ATX, EATX, Micro ATX, Mini ITX",FD-CA-DEF-R6C-GY-TGL,ATX Mid Tower
3,Black,,,,1,,True,False,2,1,,Silverstone,"330 mm / 12.992""",RVZ02B,Mini ITX,SST-RVZ02B / RVZ02B,HTPC
4,White,,,2,,,True,False,3,3,,Deepcool,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",DUKASE WHV2,ATX Mid Tower
5,White / Black,,,,,,True,False,2,2,,Deepcool,"370 mm / 14.567""",,"ATX, EATX, Micro ATX, Mini ITX",MATREXX 55 ADD-RGB WH,ATX Mid Tower
6,Black,,,2,,,True,False,4,7,,Silverstone,"344 mm / 13.543""",,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB",RV04B-W / SST-RV04B-W,ATX Full Tower
7,Black,500 mm x 215 mm x 480 mm,,,,,True,False,2,2,,Inwin,"350 mm / 13.78""",303C (Black),"ATX, Micro ATX, Mini ITX",303C BLACK,ATX Mid Tower
8,White / Black,455 mm x 200 mm x 477 mm,,,,,True,False,2,3,,Silverstone,"348 mm / 13.701""",Redline RL06WS-PRO,"ATX, Micro ATX, Mini ITX",RL06WS-PRO / SST-RL06WS-PRO,ATX Mid Tower
9,Black,,,,,,True,650 W,2,,,Inwin,"320 mm / 12.598""",A1 PLUS BLACK,Mini ITX,IW-A1PLUS-BLACK,Mini ITX Tower
10,Black,453 mm x 179 mm x 407 mm,1,4,,,False,500 W,,6,,Cooler Master,"230 mm / 9.055""",Elite 350,"ATX, Micro ATX, Mini ITX",RC-350-KKR500-GP,ATX Mid Tower
11,White,,,,,,True,False,2,3,,NZXT,"334 mm / 13.15"" With Drive Cages, 364 mm / 14.331"" Without Drive Cages",S340 (White),"ATX, Micro ATX, Mini ITX",CA-S340W-W1,ATX Mid Tower
12,Black / White,,,,,,True,False,3,1,,NZXT,"411 mm / 16.181""",H400i,"Micro ATX, Mini ITX",CA-H400W-WB,MicroATX Mini Tower
13,Black / Red,,,,,,True,False,5,3,,Azza,"370 mm / 14.567""",Obsidian 270,"ATX, Micro ATX, Mini ITX",CSAZ-270,ATX Mid Tower
