,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
0,,,900 - 1700 RPM,"152 mm / 5.984""",False,Zalman,,18 dB - 30 dB,CNPS9900MAX-R,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
1,,,1000 - 1700 RPM,"152 mm / 5.984""",False,Zalman,,17 dB - 28 dB,CNPS10X OPTIMA,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
2,,Black,600 - 1800 RPM,,True,Aerocool,,10.5 dB - 31.8 dB,P7-L240,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
3,,,1300 RPM,"159 mm / 6.26""",False,Deepcool,,26.6 dB,NEPTWIN V2.0 / NEPTWIN V2,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
4,,,,,True,RIOTORO,BIFROST 120TI,,TR-120ti,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
5,,,500 - 1300 RPM,"161 mm / 6.339""",False,Scythe,Mugen MAX,13 dB - 30.7 dB,SCMGD-1000,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
6,Sleeve,,2800 RPM,"140 mm / 5.512""",False,Cooler Master,Hyper T2,17 dB - 35 dB,RR-HT2-28PK-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
7,,Black / White,100 - 2000 RPM,"53.5 mm / 2.106""",False,ARCTIC,Alpine 12 LP,,ACALP00029A / ACFAN00029A,,"LGA1150, LGA1151, LGA1155, LGA1156"
8,,,600 - 2800 RPM,"138 mm / 5.433""",False,Enermax,,12 dB - 28 dB,ETS-N30R-HE,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
9,,,500 - 1800 RPM,"155 mm / 6.102""",False,MSI,,17.2 dB - 33.6 dB,CORE FROZR L,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
10,Rifle,,2900 RPM,"63 mm / 2.48""",False,Thermaltake,,29.58 dB,CL-P0503,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+"
11,Sleeve,,800 - 2800 RPM,"139 mm / 5.472""",False,Cooler Master,Hyper TX3,17 dB - 35 dB,RR-910-HTX3-G1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
12,,,2435 RPM,,True,Corsair,H80i v2,37.7 dB,CW-9060024-WW / H80i V2,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
13,,Black / Red,500 - 1800 RPM,"170 mm / 6.693""",False,MSI,,17.2 dB - 33.6 dB,Core Frozr XL,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
14,,,400 - 2000 RPM,"110 mm / 4.331""",False,Noctua,,16.3 dB - 22.8 dB,NH-D9L,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
15,Sleeve,,1000 - 1500 RPM,"165 mm / 6.496""",False,RAIJINTEK,THEMIS Evo,24.53 dB,0P105245,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
16,,,800 - 2800 RPM,"138 mm / 5.433""",False,Enermax,,16 dB - 27 dB,ETS-N30R-TAA,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
17,,,2750 RPM,"56 mm / 2.205""",False,Evercool,,28.2 dB,EC-NK804A-925EP,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+"
18,,Brown,600 - 2500 RPM,"37 mm / 1.457""",False,Noctua,,14.8 dB - 23.6 dB,NH-L9a-AM4,,AM4
19,,,400 - 2000 RPM,"110 mm / 4.331""",False,Noctua,,16.3 dB - 22.8 dB,NH-D9DX i4 3U,,"LGA1366, LGA2011, LGA2011-3, LGA2011-3 Narrow, LGA2066"
20,Sleeve,,300 - 1500 RPM,"155 mm / 6.102""",False,Reeven,Hans,4 dB - 29.8 dB,RC-1205,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
21,,,3200 RPM,"41 mm / 1.614""",False,Cooler Master,,25.17 dB,DK9-7E52A-0L-GP,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+"
22,Fluid Dynamic,,2400 RPM,"56 mm / 2.205""",False,SilenX,,8 dB - 24 dB,EFZ-100HA2,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
23,,,1000 - 2200 RPM,,True,Zalman,,18.89 dB - 36.7 dB,Reserator 3 MAX,120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
24,,,400 - 2000 RPM,"125 mm / 4.921""",False,Noctua,,16.3 dB - 22.8 dB,NH-U9 TR4-SP3,,TR4
25,,Black / Silver,800 - 2000 RPM,"125 mm / 4.921""",False,Enermax,,24.5 dB,ETS-N31-02,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
26,,Black,1500 RPM,"162.8 mm / 6.409""",False,be quiet!,Dark Rock Pro 4,12.8 dB - 24.3 dB,BK022,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
