,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
0,14,64-bit,False,False,"14 x 32 kB Instruction, 14 x 32 kB Data",14 x 256 kB,1 x 35 MB,14 nm,Intel,,Xeon E5-2660 V4,2 GHz,BX80660E52660V4,True,Hyper-Threading,LGA2011-3,105 W,3.2 GHz
1,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 256 kB,1 x 30 MB,22 nm,Intel,,Xeon E5-2670 V3,2.3 GHz,CM8064401544801,True,Hyper-Threading,LGA2011-3,120 W,3.1 GHz
2,4,64-bit,False,False,"4 x 64 kB Instruction, 4 x 64 kB Data",4 x 512 kB,1 x 4 MB,45 nm,AMD,,Phenom II X4 820,2.8 GHz,HDX820WFK4FGI,False,,AM3,95 W,
3,4,64-bit,True,Radeon Vega 11,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,1 x 4 MB,14 nm,AMD,,,3.6 GHz,YD2400C5FBBOX,True,,AM4,65 W,3.9 GHz
4,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 10 MB,14 nm,Intel,1.5 TB,,3.7 GHz,CM8066002395300,True,Hyper-Threading,LGA2011-3,140 W,4 GHz
5,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 1 MB,1 x 11 MB,14 nm,Intel,128 GB,,3.6 GHz,CD8067303611000,True,Hyper-Threading,LGA2066,140 W,4.5 GHz
6,4,64-bit,True,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-3550,3.3 GHz,BX80637I53550 / BX806237I53550,False,,LGA1155,77 W,
7,2,64-bit,True,False,"2 x 32 kB Instruction, 2 x 32 kB Data",1 x 2 MB,None,65 nm,Intel,,Core 2 Duo E4400,2 GHz,BX80557E4400,False,,LGA775,65 W,
8,2,64-bit,False,Intel HD Graphics 4000,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 3 MB,22 nm,Intel,,Core i3-3245,3.4 GHz,BX80637I33245,True,Hyper-Threading,LGA1155,55 W,
9,16,64-bit,False,False,"16 x 64 kB Instruction, 16 x 32 kB Data",16 x 512 kB,4 x 8 MB,12 nm,AMD,1 TB,,3.5 GHz,YD295XA8AFWOF,True,,TR4,180 W,4.4 GHz
10,2,64-bit,True,Intel HD Graphics 610,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 2 MB,14 nm,Intel,64 GB,,3 GHz,BX80677G3950,False,,LGA1151,51 W,
11,4,64-bit,True,Intel HD Graphics 2000,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 256 kB,1 x 6 MB,32 nm,Intel,,Core i5-2400,3.1 GHz,BX80623I52400,False,,LGA1155,95 W,
12,6,64-bit,True,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,32 nm,Intel,,Core i7-970,3.2 GHz,BX80613I7970,True,Hyper-Threading,LGA1366,130 W,
