,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
0,256 MB,8 TB,,"3.5""",25.32,,SATA 6 Gb/s,Western Digital,,,WD8003FRYZ,,$0.039,7200,
1,,1 TB,,M.2-2280,7.14,,M.2 (M),Silicon Power,,,SP001TBP34A80M28,,$0.140,,
2,,120 GB,,"2.5""",4.01,,SATA 6 Gb/s,Team,,,T253L7120GTC101,,$0.249,,
3,,480 GB,,"2.5""",8.00,,SATA 6 Gb/s,Kingston,,,SA400S37/480G,,$0.125,,
4,,250 GB,Black,"2.5""",5.21,,SATA 6 Gb/s,Team,,,T253TR250G3C313,,$0.192,,
5,64 MB,6 TB,,"3.5""",31.60,,SATA 6 Gb/s,Western Digital,,,WD60EFRX,,$0.032,5400,
6,,525 GB,,M.2-2280,3.75,,M.2 (B+M),Crucial,,TLC (toggle),CT525MX300SSD4,,$0.266,,
7,,256 GB,,M.2-2280,2.13,,M.2 (M),Sabrent,,,SB-ROCKET-256,,$0.469,,
8,64 MB,2 TB,,"3.5""",10.67,,SATA 6 Gb/s,Seagate,,,ST2000VN000,,$0.094,5900,
9,,1.6 TB,Black,PCI-E,1.09,,PCI-Express x4,Corsair,,,CSSD-N1600GBNX500,,$0.916,,
10,,480 GB,,"2.5""",6.01,,SATA 6 Gb/s,SanDisk,,,SDSSDA-480G-G25,,$0.166,,
11,16 MB,250 GB,,"2.5""",9.26,,SATA 3 Gb/s,Western Digital,,,WD2500BEKT,,$0.108,7200,
12,,240 GB,,M.2-2280,3.03,,M.2 (M),PNY,,,M280CS2030-240-RB,,$0.330,,
13,,480 GB,Black,"2.5""",8.02,,SATA 6 Gb/s,Crucial,,,CT480BX500SSD1,,$0.125,,
14,,250 GB,Black,M.2-2280,2.89,,M.2 (M),Samsung,,,MZ-V7S250B/AM / MZ-V7S250BW,,$0.346,,
15,,2 TB,Black / Blue,"2.5""",8.89,,SATA 6 Gb/s,Western Digital,,,WDS200T2B0A,,$0.112,,
16,,500 GB,,"2.5""",6.26,,SATA 6 Gb/s,Western Digital,,,WDS500G1B0A,,$0.160,,
17,256 MB,10 TB,,"3.5""",22.78,,SATA 6 Gb/s,Western Digital,,,WD101KRYZ,,$0.044,7200,
18,,256 GB,Blue,M.2-2280,6.40,,M.2 (B+M),Inland,,,256GB NVME SSD,,$0.156,,
19,64 MB,3 TB,,"3.5""",37.50,,SATA 6 Gb/s,Toshiba,,,HDWD130XZSTA,,$0.027,7200,
20,32 MB,500 GB,,"3.5""",12.82,,SATA 6 Gb/s,Seagate,,,ST500DM009,,$0.078,5400,
21,,512 GB,,"2.5""",2.58,,SATA 6 Gb/s,SanDisk,,,SD8SB8U-512G-1122,,$0.388,,
22,64 MB,1 TB,,"3.5""",11.12,,SATA 6 Gb/s,Western Digital,,,WD1002FAEX,,$0.090,7200,
23,128 MB,8 TB,,"3.5""",15.55,,SATA 6 Gb/s,Western Digital,,,WD80EFZX,,$0.064,5400,
24,,1 TB,,"2.5""",10.00,,SATA 6 Gb/s,ADATA,,,ASU800SS-1TT-C,,$0.100,,
25,,480 GB,,"2.5""",7.21,,SATA 6 Gb/s,Silicon Power,,,SP480GBSS3S55S25,,$0.139,,
26,,128 GB,,"2.5""",1.16,,SATA 6 Gb/s,Kingston,,,SKC400S37/128G,,$0.859,,PHISON PS3110
27,64 MB,2 TB,,"3.5""",26.67,,SATA 6 Gb/s,Western Digital,,,WD20EFRX,,$0.037,5400,
28,256 MB,6 TB,,"3.5""",30.00,,SATA 6 Gb/s,Seagate,,,ST6000NE0023,,$0.033,7200,
29,128 MB,4 TB,,"3.5""",35.65,,SATA 6 Gb/s,Toshiba,,,HDWQ140XZSTA,,$0.028,7200,
30,,1 TB,,"2.5""",3.33,,SATA 6 Gb/s,Samsung,,,MZ-75E1T0B/AM / MZ-75E1T0B/EU / MZ-75E1T0BW/EU / MZ-75E1T0BW,,$0.300,,
31,128 MB,2 TB,,"2.5""",7.19,,SATA 6 Gb/s,Seagate,,,ST2000NX0403,,$0.139,7200,
32,64 MB,4 TB,,"3.5""",45.08,,SATA 6 Gb/s,Seagate,,,ST4000DM000,,$0.022,5900,
33,,1.05 TB,,M.2-2280,3.50,,M.2 (B+M),Crucial,,TLC (toggle),CT1050MX300SSD4,,$0.286,,
34,128 MB,4 TB,,"2.5""",30.77,,SATA 6 Gb/s,Seagate,,,ST4000LM016,,$0.032,5400,
35,128 MB,500 GB,,"2.5""",10.56,,SATA 6 Gb/s,Seagate,,,ST500LM034,,$0.095,7200,
36,16 MB,500 GB,,"3.5""",12.50,,SATA 3 Gb/s,Samsung,,,HD502HJ,,$0.080,7200,
37,64 MB,5 TB,,"3.5""",22.73,,SATA 6 Gb/s,Western Digital,,,WD50EZRZ,,$0.044,5400,
38,,250 GB,White,"2.5""",5.00,,SATA 6 Gb/s,Team,,,T253TR250G3C413,,$0.200,,
39,32 MB,1 TB,,"3.5""",14.29,,SATA 6 Gb/s,Seagate,,,ST31000333AS,,$0.070,7200,
40,256 MB,6 TB,,"3.5""",22.96,,SATA 6 Gb/s,Seagate,,,ST6000NM0175,,$0.044,7200,
41,256 MB,6 TB,Silver,"3.5""",35.30,,SATA 6 Gb/s,Seagate,,,ST6000VN0033,,$0.028,7200,
42,,1.6 TB,,PCI-E,2.13,,PCI-Express x4,Intel,,,SSDPEDME016T401,,$0.469,,
43,2 GB,2 TB,Black,"2.5""",4.04,,SATA 6 Gb/s,Samsung,,,MZ-76P2T0BW / MZ-76P2T0B/EU,,$0.247,,
44,64 MB,3 TB,,"3.5""",27.30,,SATA 6 Gb/s,Seagate,,,ST3000DM001,,$0.037,7200,
45,,960 GB,,"2.5""",6.81,,SATA 6 Gb/s,ADATA,,,ASU650SS-960GT-C,,$0.147,,
46,,32 GB,,"2.5""",1.39,,SATA 6 Gb/s,Transcend,,,TS32GSSD370S,,$0.718,,
47,,1 TB,Black / Blue,"2.5""",8.70,,SATA 6 Gb/s,Western Digital,,,WDS100T2B0A,,$0.115,,
48,1 GB,1 TB,Black,M.2-2280,7.41,,M.2 (M),HP,,,2YY47AA#ABC,,$0.135,,
49,,500 GB,Black,M.2-2280,4.76,,M.2 (M),Western Digital,,,WDS500G3X0C / WDS500G3X0C-00SJG0,,$0.210,,
50,,4 TB,,"2.5""",7.30,,SATA 6 Gb/s,Samsung,,,MZ-76Q4T0B/AM / MZ-76Q4T0BW,,$0.137,,
51,,240 GB,Black,M.2-2280,3.34,,M.2 (M),ADATA,XPG SX8200 240,,ASX8200NP-240GT-C,,$0.299,,
52,,250 GB,,mSATA,3.68,,mSATA,Samsung,,,MZ-M6E250BW,,$0.272,,
53,,960 GB,,"2.5""",3.43,,SATA 6 Gb/s,ADATA,SP550,,ASP550SS3-960GM-C,,$0.292,,
54,64 MB,2 TB,,"3.5""",40.04,,SATA 6 Gb/s,Western Digital,,,WD20EURX,,$0.025,5400,
55,,120 GB,,"2.5""",2.87,,SATA 6 Gb/s,Kingston,,,SUV400S37/120G,,$0.348,,
56,,512 GB,Black,M.2-2280,6.02,,M.2 (M),ADATA,,,ASX8200PNP-512GT-C,,$0.166,,
