,CAS Latency,Color,ECC,Heat Spreader,Manufacturer,Model,Part Number,Price/GB,Registered,Size,Speed,Timing,Type,Voltage
0,16,White,False,True,Team,,TF2D416G3200HC16CDC01,$6.62,False,16 GB (2 x 8 GB),DDR4-3200,16-18-18-38,288-pin DIMM,1.35 V
1,19,Black / Yellow,False,True,Corsair,,CMK32GX4M4K4000C19,$15.00,False,32 GB (4 x 8 GB),DDR4-4000,19-23-23-45,288-pin DIMM,1.35 V
2,15,Black,False,True,Kingston,,HX429C15PB3A/8,$8.00,False,8 GB (1 x 8 GB),DDR4-2933,,288-pin DIMM,1.35 V
3,16,Black,False,True,Corsair,,CMW32GX4M4Z2933C16,$6.56,False,32 GB (4 x 8 GB),DDR4-2933,16-18-18-36,288-pin DIMM,1.35 V
4,16,Black,False,True,Team,,TF8D416G3200HC16CDC01,$7.56,False,16 GB (2 x 8 GB),DDR4-3200,16-18-18-38,288-pin DIMM,1.35 V
5,15,Red,False,True,Corsair,,CMK32GX4M4A2666C16R,$5.19,False,32 GB (4 x 8 GB),DDR4-2666,15-15-15-36,288-pin DIMM,1.2 V
6,16,Black,False,True,Corsair,,CMW32GX4M2C3200C16,$6.87,False,32 GB (2 x 16 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
7,16,Black / Yellow,False,True,Corsair,,CMK32GX4M2C3333C16,$6.56,False,32 GB (2 x 16 GB),DDR4-3333,16-18-18-36,288-pin DIMM,1.35 V
8,14,Black / White,False,True,Kingston,,HX421C14FB/4,$10.31,False,4 GB (1 x 4 GB),DDR4-2133,,288-pin DIMM,1.2 V
9,15,Green,True,False,Kingston,,KTH-PL421/8G,$7.75,True,8 GB (1 x 8 GB),DDR4-2133,,288-pin DIMM,1.2 V
10,16,White,False,True,Corsair,,CMK32GX4M2A2666C16W,$5.00,False,32 GB (2 x 16 GB),DDR4-2666,16-18-18-35,288-pin DIMM,1.2 V
11,16,Black,False,True,Corsair,,CMT128GX4M8C3200C16,$9.37,False,128 GB (8 x 16 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
12,16,Black,False,True,Corsair,,CMV4GX4M1A2400C16,$6.75,False,4 GB (1 x 4 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
13,16,Silver,False,True,G.Skill,,F4-3000C16Q-64GTRS,$6.58,False,64 GB (4 x 16 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
14,16,Red,False,True,Corsair,,CMK16GX4M2A2400C16R,$4.87,False,16 GB (2 x 8 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
15,15,Black / Silver,False,True,Patriot,,PVR416G266C5K,$6.56,False,16 GB (2 x 8 GB),DDR4-2666,15-17-17-35,288-pin DIMM,1.2 V
16,16,Silver,False,True,Gigabyte,,GP-AR32C16S8K2SU416R,$13.75,False,16 GB (2 x 8 GB),DDR4-3200,16-18-18-38,288-pin DIMM,1.35 V
17,15,Black,False,True,G.Skill,,F4-3000C15D-16GVKB,$6.25,False,16 GB (2 x 8 GB),DDR4-3000,15-16-16-35,288-pin DIMM,1.35 V
18,16,Black / Silver,False,True,Kingston,,HX426C16FB2/8,$6.62,False,8 GB (1 x 8 GB),DDR4-2666,,288-pin DIMM,1.2 V
19,16,Black,False,True,G.Skill,,F4-3200C16S-16GVK,$5.69,False,16 GB (1 x 16 GB),DDR4-3200,,288-pin DIMM,1.35 V
20,15,Red,False,True,G.Skill,,F4-2400C15D-32GVR,$4.84,False,32 GB (2 x 16 GB),DDR4-2400,,288-pin DIMM,1.2 V
21,19,Black / White,False,True,G.Skill,,F4-3866C19Q2-128GTZKK,$10.70,False,128 GB (8 x 16 GB),DDR4-3866,19-19-19-39,288-pin DIMM,1.35 V
22,16,Red,False,True,ADATA,,AX4U320038G16-DRS,$6.62,False,16 GB (2 x 8 GB),DDR4-3200,,288-pin DIMM,1.35 V
23,16,Black,False,True,Corsair,,CMW16GX4M2C3466C16,$11.25,False,16 GB (2 x 8 GB),DDR4-3466,16-18-18-36,288-pin DIMM,1.35 V
24,8,Blue / Silver,False,True,G.Skill,,F3-10600CL8D-4GBHK,$12.25,False,4 GB (2 x 2 GB),DDR3-1333,,240-pin DIMM,1.5 V
25,15,Black / White,False,True,Kingston,,HX424C15FB/8,$11.24,False,8 GB (1 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
26,14,Black,False,True,G.Skill,,F4-3000C14D-16GVK,$8.19,False,16 GB (2 x 8 GB),DDR4-3000,,288-pin DIMM,1.35 V
27,16,Black,False,True,G.Skill,,F4-3200C16D-8GVKB,$8.25,False,8 GB (2 x 4 GB),DDR4-3200,,288-pin DIMM,1.35 V
28,17,Red / Black,False,True,OLOy,,MD4U042417IBDA,$4.75,False,8 GB (2 x 4 GB),DDR4-2400,17-17-17-39,288-pin DIMM,1.2 V
29,15,Black,False,True,Kingston,,HX430C15PB3K2/16,$7.06,False,16 GB (2 x 8 GB),DDR4-3000,,288-pin DIMM,1.35 V
30,16,Black,False,True,Corsair,,CMW64GX4M4C3466C16,$10.08,False,64 GB (4 x 16 GB),DDR4-3466,16-18-18-36,288-pin DIMM,1.35 V
31,16,Red,False,True,Crucial,,BLS2K4G4D240FSE,$6.12,False,8 GB (2 x 4 GB),DDR4-2400,,288-pin DIMM,1.2 V
32,15,White,False,True,Corsair,,CMR32GX4M4C3000C15W,$10.00,False,32 GB (4 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
33,19,Green / Black,False,False,Crucial,,CT16G4DFD8266,$4.99,False,16 GB (1 x 16 GB),DDR4-2666,,288-pin DIMM,1.2 V
34,15,Black / Red,False,True,G.Skill,,F4-2133C15D-16GIS,$4.69,False,16 GB (2 x 8 GB),DDR4-2133,,288-pin DIMM,1.2 V
35,19,Black / White,False,True,Kingston,,HX434C19FBK2/32,$7.00,False,32 GB (2 x 16 GB),DDR4-3466,,288-pin DIMM,1.2 V
36,15,Black / Red,False,True,G.Skill,,F4-2400C15Q-32GVR,$5.19,False,32 GB (4 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
37,14,Black / Silver,False,True,Kingston,,HX421C14FB2K2/16,$7.49,False,16 GB (2 x 8 GB),DDR4-2133,,288-pin DIMM,1.2 V
38,16,Black / Red,False,True,G.Skill,,F4-2400C16D-16GFT,$4.75,False,16 GB (2 x 8 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
39,16,Black / White,False,True,Team,,THWD416G3200HC16CDC01,$6.31,False,16 GB (2 x 8 GB),DDR4-3200,16-18-18-38,288-pin DIMM,1.35 V
40,16,Black,False,True,Corsair,,CMT32GX4M4C3200C16,$9.06,False,32 GB (4 x 8 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
41,11,Black / Blue,False,True,G.Skill,,F3-2400C11D-16GAB,$5.37,False,16 GB (2 x 8 GB),DDR3-2400,,240-pin DIMM,1.65 V
42,15,Black / Yellow,False,True,Corsair,,CMK8GX4M2A2400C14,$6.50,False,8 GB (2 x 4 GB),DDR4-2400,15-15-15-36,288-pin DIMM,1.2 V
43,9,Black / Red,False,True,G.Skill,,F3-10666CL9D-8GBXL,$5.12,False,8 GB (2 x 4 GB),DDR3-1333,,240-pin DIMM,1.5 V
44,10,Black / Silver,False,True,Patriot,,PV316G160C0K,$4.00,False,16 GB (2 x 8 GB),DDR3-1600,,240-pin DIMM,1.5 V
45,15,Blue,False,True,Corsair,,CMK16GX4M2B3000C15B,$6.19,False,16 GB (2 x 8 GB),DDR4-3000,15-15-15-36,288-pin DIMM,1.35 V
46,9,Black / Silver,False,True,Patriot,,PV38G160C9K,$5.00,False,8 GB (2 x 4 GB),DDR3-1600,,240-pin DIMM,1.5 V
47,17,Green,False,False,ADATA,,AD4U240038G17-S,$9.93,False,8 GB (1 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
48,15,Black,False,True,Kingston,,HX430C15PB3/16,$6.62,False,16 GB (1 x 16 GB),DDR4-3000,,288-pin DIMM,1.35 V
49,19,Black / Yellow,False,True,Corsair,,CMK16GX4M2K4333C19,$16.87,False,16 GB (2 x 8 GB),DDR4-4333,19-26-26-46,288-pin DIMM,1.4 V
50,16,Black / Silver,False,True,Patriot,,PVR416G320C6K,$6.87,False,16 GB (2 x 8 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
51,16,Black / White,False,True,Corsair,,CMU16GX4M2A2666C16,$6.24,False,16 GB (2 x 8 GB),DDR4-2666,16-18-18-35,288-pin DIMM,1.2 V
52,19,Black,False,True,Corsair,,CMW64GX4M8X4000C19,$20.31,False,64 GB (8 x 8 GB),DDR4-4000,19-23-23-45,288-pin DIMM,1.35 V
53,15,Black / Silver,False,True,Corsair,,CMD16GX4M2A2666C15,$7.75,False,16 GB (2 x 8 GB),DDR4-2666,15-15-15-36,288-pin DIMM,1.2 V
54,15,Black / Red,False,True,G.Skill,,F4-2133C15Q-64GIS,$4.31,False,64 GB (4 x 16 GB),DDR4-2133,,288-pin DIMM,1.2 V
55,14,Silver,False,True,G.Skill,,F4-3200C14Q-32GTRS,$13.78,False,32 GB (4 x 8 GB),DDR4-3200,14-14-14-34,288-pin DIMM,1.35 V
56,16,White / Camo,False,True,Crucial,,BLS4K8G4D240FSCK,$5.01,False,32 GB (4 x 8 GB),DDR4-2400,,288-pin DIMM,1.2 V
