,CPU Socket,Chipset,Color,CrossFire Support,Form Factor,Half Mini-PCI-Express,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,Part Number,RAID Support,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s
0,LGA1151,Intel Z390,Black / Gold,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133 / 4266,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,TUF Z390-PLUS GAMING (WI-FI),True,,6,,False,,,,
1,LGA1151,Intel H310,White,False,Micro ATX,,MSI,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,H310M GAMING ARCTIC,False,,4,,False,,,,
2,AM4,AMD B350,Black / Yellow,False,ATX,,Biostar,32 GB,2 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,TB350-BTC,True,,4,,False,,,,
3,LGA1151,Intel Z370,Black / Silver,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000,,,,ROG STRIX Z370-F GAMING,1 x 1000 Mbit/s,True,Depends on CPU,,STRIX Z370-F GAMING / ROG STRIX Z370-F GAMING / 90MB0V50-M0EAY0,True,,6,,True,,,,
4,LGA1151,Intel Z390,Black / Silver,False,Mini ITX,,Asus,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133 / 4266 / 4333 / 4400 / 4500,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,ROG STRIX Z390-I GAMING,True,,4,,False,,,,
5,AM4,AMD X370,Black / Red,False,Mini ITX,,ASRock,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200 / 3466,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,X370 Gaming-ITX/ac,True,,4,,False,,,,
6,AM4,AMD X470,Black,False,Mini ITX,,Asus,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 2933 / 3000 / 3200 / 3466,,,,ROG STRIX X470-I GAMING,1 x 1000 Mbit/s,True,Depends on CPU,,STRIX X470-I GAMING / ROG STRIX X470-I GAMING,True,,4,,False,,,,
7,LGA1155,Intel Q67,Green / Blue,False,Micro ATX,,Intel,32 GB,4 x 240-pin DIMM,DDR3-1066 / 1333,,,,DQ67SWB3,1 x 1000 Mbit/s,False,Depends on CPU,,BOXDQ67SWB3,True,2,2,,False,,,2,
8,AM4,AMD X370,Black / White,False,ATX,,Biostar,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,X370GT5,True,,6,,False,,,,
9,LGA2011,Intel C602J,Green / Blue,False,ATX,,Supermicro,64 GB,8 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,2 x 10 Gbit/s,False,True,,X9SRH-7TF / X9SRH-7TF-O,True,4,2,,False,,,,
10,FM2,AMD A55,Brown / Black,True,Micro ATX,,ASRock,16 GB,2 x 240-pin DIMM,DDR3-800 / 1066 / 1333 / 1600 / 1866 / 2133 / 2400,,,,,1 x 1000 Mbit/s,False,Depends on CPU,,FM2A55M-DGS,True,6,,,False,,,,
11,LGA1151,Intel B365,Black / Silver,True,ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B365 Pro4,True,,6,,False,,,,
12,AM4,AMD A320,Brown / Black,False,Micro ATX,,MSI,32 GB,2 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,A320M PRO-VHL,True,,4,,False,,,,
13,LGA1151,Intel Z370,Black / Silver,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,PRIME Z370-A II / 90MB0ZT0-M0EAY0,True,,6,,True,,,,
