,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
0,,,80+ Bronze,,SeaSonic,,False,"+3.3V@24A, +5V@24A, +12V1@46A, +12V2@46A, -12V@0.8A, +5VSB@2.5A",1,1,1,SS-600ET / SS-600ET BRONZE,ATX,600 W
1,,< 85%,80+ Bronze,,Corsair,,False,"+3.3V@25A, +5V@25A, +12V@58A, -12V@0.8A, +5VSB@3A",2,,,GS700,ATX12V,700 W
2,,,,,StarTech,,False,"+3.3V@22A, +5V@21A, +12V1@10A, +12V2@15A, -12V@0.8A, +5VSB@2.5A",,1,,ATX2POWER350,ATX12V,350 W
3,Black / White,,80+ Bronze,,Corsair,CX750M V2 (2017 Edition),Semi,,4,,,CP-9020154-NA,ATX,750 W
4,,> 80%,80+,,FSP Group,,False,,,,,FSP300-60GHS-R,SFX12V,300 W
5,,<90%,80+ Gold,,XFX,,Full,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.8A, +5VSB@3A",6,,,P1-850B-BEFX,ATX12V / EPS12V,850 W
6,,92% (115VAC) / 94% (220VAC~240VAC) or Higher Typical,80+ Platinum,,EVGA,SuperNOVA 750,Full,"+3.3V@20A, +5V@20A, +12V@62.4A, +5VSB@2.5A, -12V@0.5A",4,2,,220-P2-0750-X1,ATX12V / EPS12V,750 W
7,,,80+ Gold,,SeaSonic,FOCUS PLUS 850 Gold,Full,"+3.3V@20A, +5V@20A, +12V@70A, -12V@0.3A, +5Vsb@3A",6,,,SSR-850FX,ATX,850 W
8,,89% ~ 92% at 20% ~ 100% loading,80+ Platinum,,Silverstone,,Full,"+3.3V@22A, +5V@22A, +12V@58.4A, +5VSB@3.0A, -12V@0.3A",4,,,SX700-LPT / SST-SX700-LPT,SFX12V,700 W
9,,,80+ Bronze,,RIOTORO,ONYX 750,Semi,,4,,,PR-BP0750-SM,ATX,750 W
10,,Up to 90%,80+ Gold,,XFX,,Full,,2,,,P1-550B-BEFX,ATX12V / EPS12V,550 W
11,,82%~85% at 20% ~ 100% loading,80+ Bronze,,Silverstone,,Full,"+3.3V@20A, +5V@17A, +12V@46A, +5VSB@2.5A, -12V@0.3A",2,2,,ST60F-PB,ATX12V / EPS12V,600 W
12,,,80+ Bronze,,EVGA,,False,,4,,,100-BR-0700-K1,ATX,700 W
13,,up to 85%,80+ Bronze,,EVGA,SuperNOVA 750,Semi,"+3.3V@24A, +5V@24A, +12V@62A, +5Vsb@3.0A, -12V@0.5A",4,,,110-B2-0750-VR,ATX12V / EPS12V,750 W
14,Black,,80+ Bronze,,Cooler Master,,False,,2,,,MPX-4501-ACAAB-US / MPX-4501-ACAAB-AU / MPX-4501-ACAAB-EU / MPX-4501-ACAAB-UK / MPX-4501-ACAAB-JP / MPX-4501-ACAAB-KR,ATX,450 W
15,,87-92% efficiency @ 20-100% load,80+ Gold,,Thermaltake,,Semi,,6,,,PS-TPD-0850MPCGUS-1,ATX12V / EPS12V,850 W
