,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
0,,GeForce GT 710,Black,954 MHz,False,1,,,,False,1,PCI-Express x1,"147 mm / 5.787""",Zotac,1 GB,DDR3,,,,ZT-71304-20L,,False,,,19 W,1,,
1,1.708 GHz,GeForce GTX 1060 6GB,Black,1.506 GHz,False,1,,,2,True,2,PCI-Express x16,"267 mm / 10.512""",Asus,6 GB,GDDR5,,,,TURBO-GTX1060-6G / 90YV09R0-M0NA00,,False,,True,120 W,,,
2,,GeForce RTX 2080 Ti,Black,,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Asus,11 GB,GDDR6,,,,DUAL-RTX2080TI-O11G,,True,,True,250 W,,,
3,,Radeon HD 4350,,,False,,,1,,True,1,PCI-Express x16,,VisionTek,512 MB,DDR2,,,,900270,,False,,,20 W,1,,
4,1.455 GHz,GeForce GTX 1050 Ti,Black / Orange,1.341 GHz,False,1,,,1,True,1,PCI-Express x16,"191 mm / 7.52""",Gigabyte,4 GB,GDDR5,,,,GV-N105TOC-4GD,,False,,True,75 W,,,
5,1.683 GHz,GeForce GTX 1080 Ti,Black,1.569 GHz,False,1,,,3,True,1,PCI-Express x16,"269 mm / 10.591""",MSI,11 GB,GDDR5X,,,,GTX 1080 TI SEA HAWK X,,True,,True,250 W,,,
6,,Radeon R9 380,Black / Silver,990 MHz,True,1,,1,1,True,1,PCI-Express x16,"234 mm / 9.213""",XFX,4 GB,GDDR5,,,,R9-380P-F24M,,False,True,,190 W,,,
7,,GeForce RTX 2080,Black / Silver,1.71 GHz,False,,,,3,True,1,PCI-Express x16,"272 mm / 10.709""",Gigabyte,8 GB,GDDR6,,,,GV-N2080TURBO-8GC,,True,,True,215 W,,,1
8,,GeForce GT 730,Black / Gold,902 MHz,False,1,,,,False,1,PCI-Express x16,,Zotac,2 GB,DDR3,,,,ZT-71113-20L,,False,,,49 W,1,,
9,1.471 GHz,Radeon RX VEGA 56,Black / Red,1.156 GHz,4-way CrossFire,,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",PowerColor,8 GB,HBM2,,,,AXRX VEGA 56 8GBHBM2-3DH,,False,True,,210 W,,,
